dataset,outcome,tax_otu_label,med_auroc_diff,is_severe,med_rel_abun
full,allcause,Actinomyces (OTU 210),2.6717855283705928e-5,no,3.1162699805253814e-4
full,allcause,Actinomyces (OTU 210),2.6717855283705928e-5,yes,2.8515720818807574e-4
full,allcause,Bacteroides (OTU 23),-8.359318063508593e-4,no,0.0100481670557382
full,allcause,Bacteroides (OTU 23),-8.359318063508593e-4,yes,0.005104975115782983
full,allcause,Bacteroides (OTU 355),-5.937272254034424e-4,no,9.807494565886936e-5
full,allcause,Bacteroides (OTU 355),-5.937272254034424e-4,yes,1.2432048855894105e-4
full,allcause,Barnesiella (OTU 96),2.7663977095262907e-4,no,0.001209448326428976
full,allcause,Barnesiella (OTU 96),2.7663977095262907e-4,yes,0.001428290425953782
full,allcause,Bifidobacterium (OTU 50),3.8586673607495507e-4,no,0.0036629284052478654
full,allcause,Bifidobacterium (OTU 50),3.8586673607495507e-4,yes,7.52727481654973e-4
full,allcause,Butyricimonas (OTU 83),7.069234773554559e-5,no,0.0013135460760680833
full,allcause,Butyricimonas (OTU 83),7.069234773554559e-5,yes,0.00147338261486633
full,allcause,Eggerthella (OTU 212),-0.0016203930244664288,no,3.5551770997002593e-4
full,allcause,Eggerthella (OTU 212),-0.0016203930244664288,yes,4.835204641807891e-4
full,allcause,Enterococcus (OTU 12),0.015849804789172296,no,0.01878268839513161
full,allcause,Enterococcus (OTU 12),0.015849804789172296,yes,0.04306617373727204
full,allcause,Flavonifractor (OTU 42),0.004296655387818833,no,0.004262446547224242
full,allcause,Flavonifractor (OTU 42),0.004296655387818833,yes,0.0032081933716215346
full,allcause,Lachnospiraceae (OTU 149),0.008016631962519515,no,4.7613886658900496e-4
full,allcause,Lachnospiraceae (OTU 149),0.008016631962519515,yes,6.577936567459529e-4
full,allcause,Lactobacillus (OTU 211),0.003223516397709519,no,2.246581196589297e-4
full,allcause,Lactobacillus (OTU 211),0.003223516397709519,yes,0.001728824403897924
full,allcause,Lactobacillus (OTU 71),0.001529229567933368,no,0.0024628353908233173
full,allcause,Lactobacillus (OTU 71),0.001529229567933368,yes,0.0017074349289669638
full,allcause,Parabacteroides (OTU 9),0.0020517438833940614,no,0.019537131625838075
full,allcause,Parabacteroides (OTU 9),0.0020517438833940614,yes,0.031923441503967115
full,allcause,Pasteurellaceae (OTU 26),0.004493011452368551,no,0.008232798528937798
