outcome,Otu00001,Otu00002,Otu00003,Otu00004,Otu00005,Otu00007,Otu00008,Otu00009,Otu00010,Otu00011,Otu00012,Otu00014,Otu00015,Otu00016,Otu00017,Otu00019,Otu00021,Otu00025,Otu00028,Otu00034,Otu00035,Otu00036,Otu00040,Otu00042,Otu00050,Otu00051,Otu00075,Otu00091,Otu00117
case,0.2574,0.0816,0.0238,0.0584,0.0012,0.0256,0.0092,0,0.0286,0,0.0166,0.0688,0.0096,0.009,0,0,0.0276,0,0.0052,0,0,0.0128,0.005,0.0026,0,0,0,2e-4,0
case,0.0644,0.0068,0.028,8e-4,0,0,0.001,0.0444,0.0466,2e-4,0,0,2e-4,0.0036,0,0,0,0,0,0,0,0,0,0.001,0,0.0288,0,0,0
case,4e-4,0,8e-4,0,0.2848,4e-4,0,0.0208,0,0.2048,2e-4,4e-4,0,0,0,0,0.0404,0,0,0,0,0,0,0,0,0,0,0,0
case,0.001,0.0832,0.702,0.001,0.0028,0,6e-4,0.0016,0,0,0,8e-4,2e-4,2e-4,0,0,0.0062,0,8e-4,4e-4,0,0,0,6e-4,6e-4,2e-4,0,0,0
case,0.1264,0.0516,4e-4,0,0.1314,0.0816,0.0064,0,0,0,0,0.1604,0.001,0.0088,0,0,0.0144,0,0.0056,0,0,0.0158,0,0.0286,0,0.0094,0,0,0
case,0.2306,0.0014,4e-4,0.0226,2e-4,0.0252,0.023,0,2e-4,2e-4,0.0062,0.1402,0.0346,0.0202,0,0.012,0.0302,0,0.012,0.0018,0,0,6e-4,0.0038,0,0.0042,0,0.0124,6e-4
case,0.2182,0.0026,0,0,0.0602,0.0034,2e-4,2e-4,0,0,0,0.1154,0.0456,0,0,0,0.0024,0.002,0.003,0.052,0.0062,2e-4,0,0.0934,2e-4,0.0018,8e-4,2e-4,0.0012
case,0.197,0.2126,2e-4,0.0774,0.1348,0,0.1316,4e-4,0,2e-4,0.0096,2e-4,0.0014,0,0,0,2e-4,2e-4,0.0042,0.0018,0,0.002,0,0.0022,0.0016,0.0012,0.001,2e-4,0
case,0.1276,0.0418,4e-4,0.248,0.007,0,0,0,0,0,0,0,0.025,0.044,0.088,0.1056,8e-4,0,0.005,0.002,0.0106,0.0112,0.001,0.0014,0.0098,0.001,0.0046,0.0012,0
case,0.1798,2e-4,0,0.051,0.0208,0.0184,0.006,2e-4,0,0.152,0.0046,0.0138,0.01,0.0056,0.108,0.0072,0.0312,2e-4,0.0074,0.0192,0.0526,0.021,4e-4,0.0012,4e-4,0,0,0.0022,0
case,0.3868,0.0472,0,0.0538,0.0022,0,0.0792,0,2e-4,0.0032,0.023,0,0,0.0066,0.0574,0,0.0792,6e-4,0,0.003,0,0,0,0.004,0,0,0,0,0
case,0.0866,0.1104,0.4422,0.057,0.0032,0.0188,0.0152,0.0026,0,0.008,0.0032,0.0312,0.0018,0.0028,0.0238,6e-4,0.0032,0.0034,6e-4,0.0014,0.0044,0.0014,2e-4,6e-4,2e-4,8e-4,2e-4,6e-4,0
case,0,0,0.0028,0,0.328,0,2e-4,0.0048,0,0,0,0,0,0,0,0,0.0154,0,0,0,0,0,0,0,0,0,0,0,0
case,0.106,0.0646,0,0.0216,4e-4,0.0048,0.0212,0,0.1118,0.041,0.029,0.0084,0.0152,0,0.0228,0.0928,0,0.0068,0.0124,4e-4,0.0084,0.0386,0.0058,0.0028,0.0148,2e-4,0.0034,2e-4,0.0196
case,0.0104,0.7392,0.1552,0.0012,0.0108,4e-4,0.0012,0,0.0176,4e-4,0.0018,4e-4,0.0016,0,0.0016,0.0062,0,6e-4,0.0016,0.0014,0.0022,0.0016,4e-4,0,6e-4,0.001,4e-4,0,4e-4
case,0.2016,0.0074,0.0486,0.102,0.0026,0.033,0.1318,0.002,0.131,4e-4,0,0,0.0048,0,0.0418,0,0.0268,0,0.0022,0.0028,0.007,0.0044,0,0.0058,0.0102,4e-4,4e-4,0.001,0.001
case,0,0.9034,0.0588,2e-4,0,2e-4,2e-4,0.009,0,0,0,0,0,0,2e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
case,4e-4,0.013,0,0.1866,0.0092,0,0.1558,0,0,0.0466,0.0564,0,0.029,0.0438,0,0,0.0094,0.0222,0.0058,0.0138,0.0092,0.0018,0.0094,0,0.0042,0.0034,0,0.0012,6e-4
case,0.103,0,0.0194,0.0164,0.01,0.0262,0.0746,0,2e-4,0.0026,0.0104,0.1678,0.0088,0.0106,0,0,0,0.0076,0,0,8e-4,0,0.0064,0.0014,0,0,2e-4,2e-4,0
case,0.0204,0.067,0.0032,0.0502,0,2e-4,0.0248,0,2e-4,2e-4,0.0332,0,0.0136,0.0066,0,0,4e-4,0,2e-4,0.0016,2e-4,0,0.0374,2e-4,0,0,0,6e-4,0
case,0.0994,2e-4,0,0.0222,0.0692,0.0384,0.012,0,0.054,0.0024,0.0012,0.0364,0.0014,0.002,0.0412,0.001,0.001,0.0024,2e-4,0.0022,0.0042,0.0018,0.0042,0.0016,4e-4,0,0.0272,2e-4,0.0038
case,0.5406,2e-4,4e-4,0.0948,0.007,0.0816,0.0342,0.0018,0,6e-4,0,0.0426,0.014,0,0,2e-4,0.001,0,0.0078,0.0018,0,0.0016,0,0.004,0,0.0168,0.0018,4e-4,0
case,6e-4,4e-4,0,0,0.6798,0,2e-4,0.002,0,0,2e-4,0,0.1452,0,0,0,0.0094,0,0,0.0058,2e-4,0,0,0,0,0,0,0.0104,0
case,0.1594,0.0702,2e-4,0.0378,0.0116,0.095,0.0134,0,4e-4,0,0.007,0.1222,0.0076,0.0154,0.0412,0.0042,0,0,0,6e-4,0.0022,0,0.0016,0.002,0,0,0.0016,4e-4,0
case,2e-4,0.6486,0.1734,0,0,0,0,0.0158,0,0,0,0,0.0018,0,0,0,0,0,0,6e-4,0,0,0,0,0,0,0,0,0
case,0.0772,0.1268,0.0072,0.011,2e-4,0.0104,0.0052,0.0124,0,0.0086,0.0478,0,0.0126,0.008,0,0.0056,6e-4,0,0.0038,0.0016,0,2e-4,0.0012,0.0098,2e-4,4e-4,0,0.0014,2e-4
case,0.2726,4e-4,2e-4,0.1198,0.0102,0.0666,0.037,0,0.1382,2e-4,0.011,0,0.0046,0.029,0,0.007,0.1268,0,0,0,0,0,0,0.0026,0.007,0.0712,0,0,4e-4
case,2e-4,0.0382,0.0022,0,0.696,0,0,0.002,0,2e-4,0,0,0.062,0,0,0,0.005,0,0,0,0,0,0,0,0,4e-4,0,0.0014,0
